productid,Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale,ThirdMonthSale
CL0076862,Pintuck pleat cotton knit tunic dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Shift,Year-Round,,MACHINE WASH,Black,17,8,4,5
CL0076866,Chelsea knit dress,64.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,24,12,2,10
CL0077936,Ruched tier cotton knit maxi dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,,,MACHINE WASH,Black,17,7,5,5
CL0077939,Cotton jersey knit wrap dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,5,0,3,2
CL0077940,Cotton jersey knit wrap dress,99.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,9,7,1,1
CL0077932,Cotton knit empire tiered dress,79.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,28,4,11,13
CL0077934,Cotton knit empire tiered dress,84.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,7,2,3,2
CL0077935,Cotton knit empire tiered dress,84.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,8,3,1,4
CL0077942,Trapeze hem cotton knit shift dress,84.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Fall Winter,,MACHINE WASH,Blue,6,2,2,2
CL0077943,Trapeze hem cotton knit shift dress,79.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Year-Round,,MACHINE WASH,Black,10,3,1,6
CL0077982,Trapeze hem cotton knit dress,84.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Year-Round,,MACHINE WASH,Navy,9,3,3,3
CL0077986,Cotton jersey knit wrap dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Gray,6,3,1,2
CL0077978,Asymmetric hem cotton knit shift dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Shift,,,MACHINE WASH,Black,11,1,6,4
CL0077979,Asymmetric hem cotton knit shift dress,54.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Year-Round,,MACHINE WASH,Navy,27,2,18,7
CL0078028,Trapeze hem cotton knit dress,52.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Fall Winter,,MACHINE WASH,Blue,41,13,18,10
CL0078026,Trapeze hem cotton knit dress,79.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Year-Round,,MACHINE WASH,Black,20,6,6,8
CL0078198,Cotton knit tunic and pant set,89.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Navy,9,1,5,3
CL0078237,Cotton knit cocoon hem shift dress,79.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,,,MACHINE WASH,Black,8,2,4,2
CL0078694,Asymmetric hem cotton knit tunic top,46.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,40,16,17,7
CL0078901,Cotton jersey knit sheath dress,79.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Sheath,Year-Round,,MACHINE WASH,Black,26,12,9,5
CL0078910,Cotton jersey knit sheath dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Sheath,Year-Round,,MACHINE WASH,Black,13,2,3,8
CL0079121,Cotton jersey sash tie kaftan,74.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Green,25,14,5,6
CL0079141,Contrast trim cotton jersey sheath dress,79.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Sheath,Fall Winter,,MACHINE WASH,Black,6,1,3,2
CL0079380,Cotton jersey peplum top,59.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Navy,13,2,9,2
CL0079381,Cotton jersey peplum top,74.95,Top,Cotton Jersey Knit,eShakti,KNITS,,Fall Winter,,MACHINE WASH,Purple,27,9,12,6
CL0079382,Cotton jersey peplum top,59.95,Top,Cotton Jersey Knit,eShakti,KNITS,,,,MACHINE WASH,Blue,19,6,8,5
CL0079383,Cotton jersey peplum top,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,30,12,13,5
CL0079332,Pleated cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,3,2,0,1
CL0079331,Pleated cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,20,4,5,11
CL0079544,Puff sleeve cotton jersey top,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Navy,4,1,2,1
CL0079545,Juliet sleeve cotton jersey top,59.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,11,5,5,1
CL0079515,Cotton jersey jogger pants,79.95,Pant,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,16,3,4,9
CL0080068,Cowl neck cotton knit asymmetric wrap tunic,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Blue,20,3,12,5
CL0080069,Cowl neck cotton knit asymmetric wrap tunic,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Red,22,9,9,4
CL0080146,Colorblock cotton jersey shift dress,54.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Fall Winter,,MACHINE WASH,Black,10,1,2,7
CL0080183,High boat neck cotton jersey top,59.95,Top,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Gray,3,2,0,1
CL0080194,Cotton jersey pleated obi belt dress,64.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,,,MACHINE WASH,Red,1,1,0,0
CL0080203,Seamed cotton jersey top,59.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,2,1,1,0
CL0080410,Tie front colorblock cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,2,1,0,1
CL0080413,Handkerchief hem cotton jersey empire tunic,54.95,Top,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Gray,1,1,0,0
CL0080419,Cowl neck pleated cotton jersey dress,74.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Year-Round,,MACHINE WASH,Black,2,2,0,0
CL0080420,Cowl neck pleated cotton jersey dress,74.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,,,MACHINE WASH,Green,3,3,0,0
CL0080422,Cowl neck pleated cotton jersey dress,84.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,Year-Round,,MACHINE WASH,Navy,7,2,3,2
CL0080568,Tie front colorblock cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Red,8,4,2,2
CL0080597,Pleated cotton jersey top,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,,,MACHINE WASH,Navy,2,1,1,0
CL0080598,Pleated cotton jersey top,49.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Purple,3,3,0,0
CL0080599,Pleated cotton jersey top,34.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,,,MACHINE WASH,Red,1,0,1,0
CL0080633,Handkerchief hem cotton jersey empire tunic,69.95,Top,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Black,10,3,5,2
CL0080634,Handkerchief hem cotton jersey empire tunic,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Navy,11,7,0,4
CL0080635,Handkerchief hem cotton jersey empire tunic,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Purple,10,4,6,0
CL0080636,Handkerchief hem cotton jersey empire tunic,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Red,16,2,7,7
CL0080647,Tie-neck cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Red,2,0,1,1
CL0080703,Ruched raglan sleeve cotton jersey tunic,39.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,1,0,1,0
CL0080705,Ruched raglan sleeve cotton jersey tunic,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Purple,3,1,2,0
CL0080709,High boat neck cotton jersey tee,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Black,2,0,2,0
CL0080710,High boat neck cotton jersey tee,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Navy,3,1,1,1
CL0080711,High boat neck cotton jersey tee,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,,,MACHINE WASH,Purple,7,3,2,2
CL0080836,Zip front cotton jersey palazzo jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,eShakti,KNITS,,Year-Round,,MACHINE WASH,Green,20,5,8,7
CL0080837,Zip front cotton jersey palazzo jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Navy,11,3,4,4
CL0080838,Zip front cotton jersey palazzo jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Blue,27,6,7,14
CL0080839,Zip front cotton jersey palazzo jumpsuit,59.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Purple,66,19,23,24
CL0080928,Self-button front cotton jersey empire dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,11,6,3,2
CL0080929,Self-button front cotton jersey empire dress,99.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Green,18,3,11,4
CL0080930,Self-button front cotton jersey empire dress,76.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,8,1,4,3
CL0080931,Self-button front cotton jersey empire dress,99.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,9,4,1,4
CL0080932,Faux-button front cotton jersey empire dress,84.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,11,5,1,5
CL0080933,Self-button front cotton jersey empire dress,74.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,,,MACHINE WASH,Red,2,2,0,0
CL0080915,Chelsea colorblock cotton jersey dress,74.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,3,0,1,2
CL0080938,Handkerchief hem cotton jersey surplice tunic,74.95,Top,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Gray,1,1,0,0
CL0080946,Shrug style cotton jersey knit top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,5,0,3,2
CL0080961,Knot front empire cotton jersey dress,54.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,6,0,4,2
CL0080956,Flutter sleeve cotton jersey top,39.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,,,MACHINE WASH,Black,4,0,3,1
CL0081004,Shrug style cotton jersey knit top,32.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Red,2,1,1,0
CL0081042,Floral vine embroidery cotton knit belted dress,87.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Black,35,12,14,9
CL0081061,Floral vine embroidery cotton jersey top,79.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Black,12,2,5,5
CL0081006,One shoulder cotton jersey top,36.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,2,1,1,0
CL0081175,Turtleneck cotton jersey top,74.95,Top,Cotton Jersey Knit,eshakti,KNITS,,Fall Winter,,MACHINE WASH,Gray,10,6,3,1
CL0081306,Floral embroidery cotton jersey banded empire dres,79.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Black,3,1,1,1
CL0081337,Ruched pleat cotton jersey surplice top,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Red,6,1,3,2
CL0081384,Ruffle trim cotton jersey smocked top,44.95,Top,Cotton Jersey Knit,ZAPELLE,WOVEN,,Fall Winter,,MACHINE WASH,Blue,1,0,1,0
CL0081385,Ruffle trim cotton jersey smocked top,44.95,Top,Cotton Jersey Knit,ZAPELLE,WOVEN,,Fall Winter,,MACHINE WASH,Red,1,0,0,1
CL0081343,Cotton jersey knit fit-and-flare dress,54.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,17,6,8,3
CL0081414,Sweetheart surplice cotton jersey dress,99.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Green,4,3,0,1
CL0081473,Cotton jersey surplice midi dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Gray,6,1,4,1
CL0081538,Cotton jersey kaftan style shirtdress,89.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Black,12,4,4,4
CL0081611,Sweetheart surplice cotton jersey dress,99.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,1,0,1,0
CL0081614,Sweetheart surplice cotton jersey dress,99.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,2,0,1,1
CL0081633,Cotton jersey pleated surplice dress,84.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,75,31,35,9
CL0081646,Ruched cross front cotton jersey dress,54.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,4,2,1,1
CL0081682,Cotton jersey elastic waist blouse,36.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Blue,3,1,2,0
CL0081699,Ruched pleat cross front cotton jersey top,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,6,1,3,2
CL0081945,Ruffle peplum cotton jersey cardigan,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,,,MACHINE WASH,Black,22,5,9,8
CL0081946,Ruffle peplum cotton jersey cardigan,29.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Navy,14,5,5,4
CL0081948,Ruffle peplum cotton jersey cardigan,69.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Red,15,8,6,1
CL0081951,Ruched drawstring tie cotton jersey top,74.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Blue,3,0,2,1
CL0081952,Ruched drawstring tie cotton jersey top,69.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Red,5,3,1,1
CL0081957,Cotton jersey knit wrap dress,84.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,,,MACHINE WASH,Purple,28,3,7,18
CL0081958,Cotton jersey knit wrap dress,79.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Red,18,4,6,8
CL0082166,Koala bear embroidery cotton jersey shift dress,89.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Shift,,,MACHINE WASH,Black,4,1,2,1
CL0083835,Tapered leg cotton jersey pants,79.95,Pant,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,23,10,7,6
CL0083800,Cotton jersey knit crop top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,5,0,3,2
CL0084205,Cotton jersey crop wrap top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,20,7,8,5
CL0084230,Pleat waist cotton jersey dress,99.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Purple,3,1,2,0
CL0084233,Pleat waist cotton jersey dress,61.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,4,1,2,1
CL0084231,Pleat waist cotton jersey dress,49.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,,,MACHINE WASH,Pink,6,0,2,4
CL0084805,Cotton jersey and poplin ruffle peplum top,39.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Navy,3,3,0,0
CL0084865,Asymmetric shoulder cotton jersey sheath dress,89.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Sheath,Year-Round,,MACHINE WASH,Black,54,23,24,7
CL0086045,Cowl neck cotton jersey tunic and pant set,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Blue,17,10,3,4
CL0086044,Cotton jersey pleated duster jacket and skinny pan,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Blue,12,5,4,3
CL0086091,Cowl neck pleated cotton jersey tunic and pant set,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Blue,1,0,0,1
CL0086361,One-shoulder stripe cotton jersey peplum dress,79.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,,Sale,,MACHINE WASH,Blue,5,5,0,0
CL0087354,Dolman sleeve cotton jersey sheath dress,84.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Sheath,Fall Winter,,MACHINE WASH,Green,3,1,1,1
CL0087508,Cowl neck cotton jersey asymmetric wrap dress,84.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Wrap,Fall Winter,,MACHINE WASH,Green,5,0,2,3
CL0087692,Pleat curved waist cotton jersey dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Green,53,21,18,14
CL0087686,Pleat curved waist cotton jersey dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,8,1,2,5
CL0087784,Asymmetric shoulder cotton jersey palazzo jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,5,3,2,0
CL0088347,Cotton jersey surplice dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,4,2,0,2
CL0088735,Asymmetric collar cotton jersey top,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,6,2,2,2
CL0088922,Shaped cotton jersey top,34.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,2,1,1,0
CL0089368,Cotton jersey fit and flare dress,69.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Purple,9,3,3,3
CL0089370,Cotton jersey fit and flare dress,69.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,71,38,16,17
CL0089460,Chelsea cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Red,4,1,2,1
CL0089513,Ruffle cotton jersey halter maxi dress,89.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,,,MACHINE WASH,Green,9,4,3,2
CL0089514,Ruffle cotton jersey halter maxi dress,72.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,,,MACHINE WASH,Black,19,5,10,4
CL0089577,Cotton jersey knit vented A-line dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,4,1,1,2
CL0089779,Chevron stripe colorblock maxi dress,74.95,Dress,Cotton Jersey Knit,eshakti,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,White,35,7,10,18
CL0089743,Trapeze hem cotton jersey knit top,29.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Red,7,2,3,2
CL0089829,Chelsea style cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Red,14,3,6,5
CL0089753,Obi belt cotton jersey top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Red,9,2,3,4
CL0089943,Pleated surplice cotton jersey top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Red,43,15,13,15
CL0089995,Chelsea dress,57.95,Dress,Cotton Jersey Knit,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,9,2,4,3
CL0089998,Chelsea dress,57.95,Dress,Cotton Jersey Knit,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,2,1,0,1
CL0090133,Cotton jersey crop wrap top,59.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,9,5,1,3
CL0090135,Cotton jersey crop wrap top,32.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Blue,33,16,17,0
CL0090144,High boat neck cotton jersey tee,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,18,5,6,7
CL0090190,Cotton jersey fit and flare dress,68.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,7,1,6,0
CL0090213,Cotton jersey open front cardigan,84.95,Jacket,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Blue,15,7,8,0
CL0090214,Cotton jersey open front cardigan,79.95,Jacket,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Purple,14,6,5,3
CL0090231,Chelsea cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Green,14,2,5,7
CL0090232,Chelsea cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Navy,19,5,10,4
CL0090283,Asymmetric sash cotton jersey sheath dress,54.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Sheath,Fall Winter,,MACHINE WASH,Red,17,6,7,4
CL0090287,Cotton jersey pleat waist dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,,,MACHINE WASH,Black,7,1,2,4
CL0090328,Cotton jersey surplice empire top,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,2,2,0,0
CL0090329,Cotton jersey surplice empire top,29.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,3,1,1,1
CL0090331,Cotton jersey surplice empire top,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Navy,2,0,2,0
CL0090323,Cotton jersey elastic waist blouse,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,8,6,1,1
CL0090326,Cotton jersey elastic waist blouse,29.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Red,1,1,0,0
CL0090370,Ruched pleat cross front cotton jersey top,59.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,8,3,2,3
CL0090373,Ruched pleat cross front cotton jersey top,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Navy,19,4,7,8
CL0090470,Pintuck pleat cotton jersey top,69.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,,,MACHINE WASH,Black,10,1,6,3
CL0090528,Cowl neck cotton jersey asymmetric wrap tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Red,1,0,1,0
CL0090532,Cowl neck cotton jersey asymmetric wrap tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,2,0,1,1
CL0090547,Pleated cotton jersey empire peplum top,69.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Green,7,4,1,2
CL0090548,Pleated cotton jersey empire peplum top,32.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Purple,6,1,2,3
CL0090550,Pleated cotton jersey empire peplum top,32.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Green,8,4,3,1
CL0090551,Pleated cotton jersey empire peplum top,74.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Blue,11,3,5,3
CL0090552,Pleated cotton jersey empire peplum top,32.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Year-Round,,MACHINE WASH,Black,7,1,2,4
CL0090553,Pleated cotton jersey empire peplum top,32.95,Top,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Red,19,3,7,9
CL0090558,Pleated cotton jersey top,34.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,15,0,10,5
CL0090616,Obi belt cotton jersey peplum top,34.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,6,4,1,1
CL0090672,Trapeze hem cotton jersey knit top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,4,1,2,1
CL0090674,Trapeze hem cotton jersey knit top,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,9,1,3,5
