Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale
Stripe print crepe elastic waist shirtdress,89.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,Stripes,MACHINE WASH,Off-white,2,4,2
Tie-dye print crepe drop waist tiered dress,64.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shift,,,MACHINE WASH,Black,5,8,5
Geo print crepe godet flared skirt,89.95,Skirt,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,Graphic,MACHINE WASH,Beige,1,10,1
Geo print crepe faux-wrap skirt,49.95,Skirt,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,Graphic,MACHINE WASH,Blue,9,9,9
Plunge scarf print crepe dress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Blue,1,6,1
Graphic floral print crepe shift dress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shift,,Floral,MACHINE WASH,Beige,2,0,2
Bow tie shadow ombre print crepe tunic,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Green,4,1,4
Ruched tie-dye print crepe drawstring dress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Graphic,MACHINE WASH,Navy,1,1,1
Leaf print crepe faux wrap dress,99.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Sheath,,Floral,MACHINE WASH,Pink,4,4,4
Floral tapestry print crepe banded empire dress,103.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Blue,4,18,4
Floral print crepe pieced A-line dress,99.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,White,4,3,4
Puff sleeve abstract print crepe peplum top,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Off-white,2,6,2
Puff sleeve owl print crepe blouse,49.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Black,15,5,15
Star print crepe pleated surplice peplum top,64.95,Top,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Navy,4,1,4
Pintuck pleat floral print crepe tunic,74.95,Top,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Purple,2,1,2
Dolman sleeve floral print crepe faux wrap dress,77.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Sheath,,Floral,MACHINE WASH,Black,1,1,1
Dolman sleeve floral print crepe faux wrap dress,77.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Sheath,,Floral,MACHINE WASH,Red,3,2,3
Dolman sleeve floral print crepe faux wrap dress,77.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Sheath,,Floral,MACHINE WASH,Navy,1,2,1
Mixed graphic print crepe pleated sheath shirtdres,74.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shirtdress,,Graphic,MACHINE WASH,White,1,0,1
Soft crepe twill pleated sheath shirtdress,62.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shirtdress,,,MACHINE WASH,Beige,6,20,6
Polka dot print crepe ruffle flounce shirt dress,74.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,3,13,3
Leafy vine print crepe surplice empire dress,69.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Navy,6,20,6
High neck ponte knit sheath dress,89.95,Dress,Rayon Nylon Spandex,Zapelle,KNITS,Sheath,Fall Winter,,hand wash,Red,1,3,1
Celestial print mixed media belted dress,89.95,Dress,Cotton Polyester Spandex,eshakti,WOVEN,,Fall Winter,,MACHINE WASH,Black,1,4,1
Pintuck pleat fox floral print crepe tunic,74.95,Top,Polyester Crepe de Chine,WAYWARD FANCIES,WOVEN,,,Whimsical,MACHINE WASH,Green,4,3,4
Pintuck pleat crepe tunic,69.95,Top,Polyester Crepe de Chine,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Black,1,4,1
Polka dot print crepe tunic,29.95,Top,Polyester Crepe de Chine,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Violet,6,11,6
Ruched sleeve crepe crop wrap top,69.95,Top,Polyester Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Red,1,2,1
Gathered neckline cotton denim top,69.95,Top,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,0,1
Button front stretch twill waistcoat,74.95,Jacket,Twill,Elevated Essentials,WOVEN,,Fall Winter,,DRY CLEAN,Off-white,1,3,1
Stretch twill palazzo pants,99.95,Pant,Twill,Elevated Essentials,WOVEN,,Fall Winter,,DRY CLEAN,Off-white,5,2,5
Stretch twill sash tie vest,82.95,Jacket,Twill,Elevated Essentials,WOVEN,,Fall Winter,,DRY CLEAN,Off-white,1,2,1
Stretch twill tapered leg pants,74.95,Pant,Twill,Elevated Essentials,WOVEN,,Fall Winter,,DRY CLEAN,Off-white,1,3,1
Pleat front stretch cotton twill skirt,69.95,Skirt,Twill,Elevated Essentials,WOVEN,,,,MACHINE WASH,Black,3,6,3
Pleat front stretch cotton twill skirt,59.95,Skirt,Twill,Elevated Essentials,WOVEN,,,,MACHINE WASH,Navy,2,6,2
Ruched pocket cotton sateen elastic waist skirt,56.95,Skirt,Sateen,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Yellow,3,20,3
Dolman sleeve cotton sateen shirtdress,89.95,Dress,Sateen,Zapelle,WOVEN,Fit-and-flare,,,MACHINE WASH,Red,3,51,3
Corset style cotton sateen dress,64.95,Dress,Sateen,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Blue,1,3,1
Houndstooth burnout velvet elastic waist skirt,89.95,Skirt,Velvet,Zapelle,KNITS,,Sale,,DRY CLEAN,Gray,2,3,2
Jasmine dress,104.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,2,6,2
Elastic waist linen shorts,72.95,Pant,100% Linen,Elevated Essentials,WOVEN,,Spring Summer,,MACHINE WASH,White,1,1,1
Linen pleated shorts,89.95,Pant,100% Linen,Elevated Essentials,WOVEN,,Year-Round,,MACHINE WASH,White,2,4,2
Ponte knit belted shirtdress,89.95,Dress,Ponte Knit,Elevated Essentials,KNITS,Shirtdress,,,MACHINE WASH,Navy,1,2,1
Cap sleeve jersey knit top,74.95,Top,Jersey Knit,Elevated Essentials,KNITS,,Year-Round,,hand wash,Black,2,6,2
Ruffle popover cotton poplin babydoll dress,89.95,Dress,Cotton Poplin,Zapelle,WOVEN,Fit-and-flare,,,MACHINE WASH,Red,2,6,2
Ruched pocket cotton poplin elastic waist skirt,57.95,Skirt,Cotton Poplin,Zapelle,WOVEN,,,,MACHINE WASH,Black,22,39,22
Ruched pocket cotton poplin elastic waist skirt,62.95,Skirt,Cotton Poplin,Zapelle,WOVEN,,,,MACHINE WASH,Green,7,8,7
Ruched pocket cotton poplin elastic waist skirt,57.95,Skirt,Cotton Poplin,Zapelle,WOVEN,,,,MACHINE WASH,Red,4,8,4
Dolman sleeve cotton poplin shirtdress,64.95,Dress,Cotton Poplin,Zapelle,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,7,36,7
Dolman sleeve cotton poplin shirtdress,64.95,Dress,Cotton Poplin,Zapelle,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,5,35,5
Zip front cotton jersey tunic and pant set,89.95,Jumpsuit,Cotton Jersey Knit,ZAPELLE,KNITS,,,,MACHINE WASH,Black,1,2,1
Embellished polka dot cotton jersey sheath dress,69.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Sheath,Fall Winter,,MACHINE WASH,Blue,1,7,1
Cotton jersey fit-and-flare dress,84.95,Dress,Cotton Jersey Knit,eshakti,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,1,4,1
Pintuck pleat twill crepe dress,89.95,Dress,Poly Crepe de Chine,Elevated Essentials,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,Black,1,6,1
Light fine twill shirt,44.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Spring Summer,,MACHINE WASH,Black,7,15,7
Cowl neck fine twill top,49.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Spring Summer,,MACHINE WASH,Black,1,1,1
Tie neck pintuck pleat fine twill shirt,49.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Fall Winter,,MACHINE WASH,Green,5,10,5
Cowl neck fine twill top,49.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Year-Round,,MACHINE WASH,White,1,0,1
Tux pleat bib-front fine twill shirt,54.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,,,MACHINE WASH,Black,4,4,4
Puff sleeve fine twill blouse,49.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Year-Round,,MACHINE WASH,White,2,1,2
Puff sleeve fine crepe twill tunic,54.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Fall Winter,,MACHINE WASH,Black,3,5,3
Puff sleeve fine twill tunic,54.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Fall Winter,,MACHINE WASH,Blue,5,9,5
Puff sleeve fine crepe twill tunic,54.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Fall Winter,,MACHINE WASH,Off-white,5,10,5
Light fine crepe twill shirt,69.95,Top,Poly Crepe de Chine,Elevated Essentials,WOVEN,,Fall Winter,,MACHINE WASH,Off-white,4,5,4
Night sky print crepe pleat waist dress,84.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Blue,9,17,9
Jersey knit and asymmetric ruffle mesh dress,119.95,Dress,Mesh,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,,hand wash,Green,2,2,2
Contrast trim cotton denim shift dress,69.95,Denim Dress,Denim,ZAPELLE,WOVEN,,Fall Winter,,90%cotton/9%polyester/1%spandex machine wash,Blue,5,10,5
Cotton denim vintage wash tunic shirt,79.95,Denim Shirts,Denim,ZAPELLE,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,0,1
Contrast top-stitch cotton denim shirtdress,69.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,1,1
Vintage wash cotton denim shirtdress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,1,1
Floral embroidery surplice bib front cotton denim ,89.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,1,1
Button tab light cotton denim shirtdress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Indigo,7,3,7
Button tab utility style cotton denim shirtdress,94.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,0,1
Cotton denim A-line shirt dress,69.95,Denim Dress,Denim,eshakti,WOVEN,,,,MACHINE WASH,Indigo,1,9,1
Zip front cotton denim shirtdress,67.95,Denim Dress,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,1,6,1
Puff sleeve cotton denim shift dress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,2,0,2
Cotton denim slim fit shirt,79.95,Denim Shirts,Denim,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,1,0,1
Wide-leg cotton denim crop jumpsuit,64.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,4,13,4
Floral embroidery tulle A-line dress,129.95,Dress,Tulle,eshakti,WOVEN,Fit-and-flare,Fall Winter,,DRY CLEAN,Black,4,20,4
Ruffle sailor collar fine crepe twill shirt,69.95,Top,Twill,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Black,3,1,3
Decorative embroidery cotton voile empire dress,139.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash,Navy,2,6,2
Graphic embroidery Egyptian Giza cotton voile shif,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shift,Fall Winter,,MACHINE WASH,Black,2,1,2
Decorative embroidery Egyptian Giza cotton voile e,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,White,2,7,2
Decorative embroidery cotton voile empire top,49.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Navy,6,19,6
Lace up tie belt cotton denim shirt dress,59.95,Denim Dress,Cotton,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,1,0,1
Stretch velvet empire A-line dress,99.95,Dress,Velvet,eshakti,KNITS,Fit-and-flare,Fall Winter,,DRY CLEAN,Pink,2,4,2
Floral print dupioni and cotton poplin maxi shirtd,109.96,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Navy,5,5,5
Floral and bird print dupioni maxi dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,Floral,MACHINE WASH,Black,12,6,12
Floral embroidery dupioni dress,99.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,White,1,2,1
Floral print dupioni maxi dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Black,4,8,4
Floral vine embroidery dupioni dress,114.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Black,2,3,2
Floral vine embroidery dupioni dress,104.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,,hand wash or machine wash cold drip dry iron low w,White,1,1,1
Pearl bead embroidery dupioni maxi dress,114.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Black,1,5,1
Pearl bead embroidery dupioni maxi dress,76.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,3,3,3
Beaded floral dupioni dress,124.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,1,3,1
Floral embroidered collar dupioni maxi dress,74.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Black,1,3,1
Flroal embroidery dupioni A-line dress,74.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,8,7,8
Cowl neck cotton jersey and dupioni maxi dress,94.95,Dress,Dupioni,NEWBURY STREET,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Black,2,0,2
Floral print dupioni pleated empire dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Brown,1,7,1
Sequin embroidery dupioni dress,94.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Navy,1,10,1
Sash-tie dupioni faux-wrap dress,89.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Navy,1,2,1
Floral print dupioni maxi dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Black,2,3,2
Sash-tie dupioni faux-wrap dress,129.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Red,2,2,2
Sash-tie dupioni faux-wrap dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,2,2,2
Floral bird print dupioni and jersey knit maxi dre,139.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Black,2,8,2
Floral and bird print dupioni and cotton poplin ma,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Black,1,3,1
Floral print dupioni banded empire maxi dress,119.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Navy,3,2,3
Floral print dupioni sheath dress,119.95,Dress,Dupioni,eshakti,WOVEN,Sheath,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Navy,1,3,1
Leaf print dupioni banded empire maxi dress,139.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Black,2,15,2
Zip front leaf print dupioni empire maxi dress,79.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Black,3,4,3
Leaf print dupioni maxi skirt,89.95,Skirt,Dupioni,eshakti,WOVEN,,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Black,1,2,1
Zip front floral print dupioni empire maxi dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Red,1,3,1
Floral lace print dupioni maxi dress,119.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Pink,3,3,3
Abstract print dupioni A-line dress,139.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Graphic,hand wash or machine wash cold drip dry iron low w,Pink,1,3,1
Floral print dupioni maxi dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Off-white,1,2,1
Floral print dupioni belted dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Navy,11,9,11
Zip front abstract print dupioni empire maxi dress,87.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Pink,3,11,3
Check print dupioni wide belt shirtdress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Stripes,hand wash or machine wash cold drip dry iron low w,Multi-colored,1,5,1
Check print dupioni wide belt shirtdress,104.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Stripes,hand wash or machine wash cold drip dry iron low w,Multi-colored,3,0,3
Vibrant check print dupioni skirt,89.95,Skirt,Dupioni,eshakti,WOVEN,,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Multi-colored,1,5,1
Floral bird tile print dupioni maxi dress,119.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,Floral,hand wash or machine wash cold drip dry iron low w,Green,5,10,5
Graphic tile print dupioni skirt,69.95,Skirt,Dupioni,eshakti,WOVEN,,Spring Summer,Graphic,hand wash or machine wash cold drip dry iron low w,Red,1,1,1
Check print dupioni maxi skirt,89.95,Skirt,Dupioni,eshakti,WOVEN,,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Navy,1,2,1
Check print dupioni palazzo pants,99.95,Pant,Dupioni,WAYWARD FANCIES,WOVEN,,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Blue,1,0,1
Abstract print dupioni A-line dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Graphic,hand wash or machine wash cold drip dry iron low w,Green,3,6,3
Abstract print dupioni A-line dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Orange,1,13,1
Floral print dupioni maxi dress,104.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Green,2,4,2
Floral print dupioni A-line dress,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Black,3,19,3
Zip front floral print dupioni empire maxi dress,76.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Black,2,3,2
High-low hem floral print dupioni dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Black,6,13,6
Check print dupioni wide belt shirtdress,119.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Orange,1,6,1
Puff sleeve dupioni A-line dress,109.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,,DRY CLEAN,Black,1,3,1
Geo print dupioni wide belt shirtdress,79.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Graphic,hand wash or machine wash cold drip dry iron low w,Red,3,10,3
Cut-out front dupioni puff sleeve dress,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Black,1,4,1
Cut-out front floral lace print dupioni puff sleev,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Pink,3,3,3
Floral sequin embroidery illusion mesh and dupioni,124.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,DRY CLEAN,Black,1,3,1
Floral print dupioni and jersey knit maxi dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Navy,7,30,7
Ruffle tulle trim cotton jersey and chambray dress,69.95,Dress,Chambray,eshakti,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Indigo,4,4,4
Cotton poplin and chambray sash tie shirtdress,69.95,Dress,Chambray,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Indigo,3,7,3
Wrap front cotton chambray jumpsuit,89.95,Jumpsuit,Chambray,ZAPELLE,WOVEN,,Year-Round,,MACHINE WASH,Indigo,3,3,3
Chevron stripe cotton chambray A-line dress,54.95,Dress,Chambray,eShakti,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Indigo,1,7,1
Western style cotton chambray shirtdress,54.95,Dress,Chambray,eShakti,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,Indigo,5,11,5
Scallop trim cotton chambray shirtdress,54.95,Dress,Chambray,eshakti,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,Indigo,1,2,1
Cotton chambray sash-tie dress,62.95,Dress,Chambray,eshakti,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,Indigo,1,4,1
Smocked cotton chambray ruffle flounce dress,109.95,Dress,Chambray,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,Indigo,2,11,2
Pintuck pleat cotton chambray ruffle flounce dress,79.95,Dress,Chambray,WAYWARD FANCIES,WOVEN,Shift,Year-Round,,MACHINE WASH,Indigo,1,4,1
Cotton chambray belted full flare skirt,52.95,Skirt,Chambray,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,5,25,5
Godet inset cotton chambray dress,62.95,Dress,Chambray,eshakti,WOVEN,A-Line,Fall Winter,,MACHINE WASH,Indigo,1,12,1
Floral vine embroidery cotton chambray peplum tuni,79.95,Top,Chambray,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,1,2,1
Colorblock cotton chambray shift dress,84.95,Dress,Chambray,Zapelle,WOVEN,Shirtdress,Year-Round,,MACHINE WASH,Indigo,1,0,1
Ombre floral print georgette pleated dress,79.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Navy,7,12,7
Pleat front floral bird print georgette maxi dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Green,2,4,2
Pleat front tile print georgette maxi dress,99.95,Dress,Georgette,eshakti,WOVEN,Fit-and-flare,Spring Summer,Graphic,MACHINE WASH,Blue,3,11,3
Ruffle floral print georgette smocked top,74.95,Top,Georgette,WAYWARD FANCIES,WOVEN,,Spring Summer,,MACHINE WASH,Green,1,2,1
Floral lace print georgette pleated empire dress,99.95,Dress,Georgette,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Pink,2,4,2
Tiger print georgette smocked empire dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Purple,1,1,1
Ombre floral print georgette smocked empire dress,102.45,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Navy,5,22,5
Stripe lace print georgette pleated empire dress,81.45,Dress,Georgette,eshakti,WOVEN,Fit-and-flare,Fall Winter,Stripes,MACHINE WASH,Black,1,24,1
Stripe lace print georgette high-low top,74.95,Top,Georgette,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Black,3,5,3
Graphic floral print georgette banded empire dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Blue,1,2,1
Ombre star print georgette pleated empire dress,99.95,Dress,Georgette,eshakti,WOVEN,,,,MACHINE WASH,Purple,1,0,1
Floral tile print georgette shift dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Shift,Spring Summer,Floral,MACHINE WASH,Navy,2,1,2
Floral paisley print georgette shift dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Shift,Fall Winter,Floral,MACHINE WASH,Green,3,5,3
Faux button front floral print georgette dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Black,1,1,1
Floral print georgette ruffle flounce dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Black,1,9,1
Leaf print georgette shift dress,139.95,Dress,Georgette,Zapelle,WOVEN,,,,MACHINE WASH,Black,4,5,4
Floral print georgette empire dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Black,1,0,1
Twist front floral print georgette A-line dress,99.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Black,3,1,3
Floral print georgette pleated empire dress,99.95,Dress,Georgette,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Pink,3,7,3
Pleat front floral print georgette maxi dress,109.95,Dress,Georgette,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash,Pink,5,7,5
Floral print georgette smocked empire dress,99.95,Dress,Georgette,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Black,2,0,2
Floral print georgette asymmetric tier dress,86.95,Dress,Georgette,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Blue,3,1,3
Graphic print georgette tie-back dress,99.95,Dress,Georgette,Zapelle,WOVEN,Fit-and-flare,Fall Winter,Graphic,MACHINE WASH,Navy,3,4,3
